Chapter,Location,Context Esp,Latitude,Longitude,Reality,Page,Section,Character category,Type of Space,Date in novel
,"la Vila Universitaria, UAB",,41.500044,2.096812,,150,6,,,
,la comisaría de Sabadell,,41.540372,2.100651,,130,6,,,
,el hotel Claris,,41.394819,2.165076,,139,6,,,
,"la Vila Universitaria, UAB",,41.499324,2.096812,,147,6,,,
,Hospital Clínico de Barcelona,,41.389029,2.152221,,131,6,,,
,el hotel Claris,,41.394099,2.165076,,137,6,,,
,"la Vila Universitaria, UAB",,41.49993856,2.096557441,,152,6,,,
,el bosque,,41.504312,2.109593,,117-119,5,,,
,el bosque,,41.504672,2.109233,,127,5,,,
,el número 66 de la Carretera de La Bordeta,,41.373083,2.144705,,121,5,,,
,tienda de ropa infantil de la familia Bru,,41.227484,1.723648,,124,5,,,
,el hotel de Bellaterra,,41.491453,2.100659,,111-113,5,,,
,la comisaría de Cerdañola,,41.48599925,2.123474619,,113,5,,,
,la facultad de Filosofía y Letras,,41.502714,2.107197231,,123,5,,,